,active,address,address_line_2,city,county,createdate,dayphone,license,organization,state,type,ubi,zip
459,PENDING (ISSUED),2875 W 1ST ST   STE B,SUITE B,WARDEN,GRANT,20180306,2067936364,413619,RIO NINE ELEVEN,WA,MARIJUANA PRODUCER TIER 3,6033563090010000,988570000
460,ACTIVE (ISSUED),26320 STERETT RD N,,DAVENPORT,LINCOLN,20171230,2539851836,416744,HAPPY TRAILZ,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033585300010000,991220000
461,ACTIVE (ISSUED),2260 WILLAMETTE DR NE STE C,,LACEY,THURSTON,20180105,2063174419,417105,ARTIZEN CANNABIS COMPANY,WA,MARIJUANA PROCESSOR,6033551430010000,985160000
462,ACTIVE (ISSUED),45 RAYMOND SOUTH BEND RD STE A,,SOUTH BEND,PACIFIC,20171130,4259220948,413076,GREEN LABS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033488250010000,985860000
463,ACTIVE (ISSUED),23095 BAIRD SPRINGS RD NW #A,,QUINCY,GRANT,20180103,2064341570,425416,BLACK MARKET MUSIC,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6032601540010000,988489637
464,ACTIVE (ISSUED),25171 SR 525,#2,GREENBANK,ISLAND,20180118,4252603482,422457,THE WEED SHOP,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035727160010000,982530000
465,ACTIVE (ISSUED),4380 KAWECKI RD STE C,STE C,MALAGA,CHELAN,20170906,5037574714,416131,TERPCO,WA,MARIJUANA PRODUCER TIER 2,6035262820010000,988280000
466,ACTIVE (ISSUED),2121 ST FRANCIS LN,,VANCOUVER,CLARK,20180306,3609771978,417291,SNOWCREST,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033589990010000,986601060
467,ACTIVE (ISSUED),6160 NO 81 RD,,ELLENSBURG,KITTITAS,20171230,3605687610,415861,KITTITAS VALLEY RANCH,WA,MARIJUANA PRODUCER TIER 3,6033565650010000,989266689
468,ACTIVE (ISSUED),29122 CEDAR PONDS RD #A,,MONROE,SNOHOMISH,20170215,4257539868,413459,OCEAN GROWN GARDENS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033547070010000,982729399
469,ACTIVE (ISSUED),5373 GUIDE MERIDIAN  STE D-11,,BELLINGHAM,WHATCOM,20171227,3603320911,412567,HAPPY VALLEY FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034561660010000,982267418
470,ACTIVE (ISSUED),3249 PERRY AVE,SUITE B,BREMERTON,KITSAP,20171024,3604432293,79720,FILLABONG,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035601210010000,983105371
471,ACTIVE (ISSUED),28505 112TH ST E # A,,BUCKLEY,PIERCE,20171223,2069477887,415955,MOUNTAIN HIGH GARDEN,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6029482690020000,983219265
472,PENDING (ISSUED),2900 LIND AVE SW STE A,,RENTON,KING,20180119,2067953505,416908,CANNASEUR'S CHOICE,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033492860010000,980570000
473,ACTIVE (ISSUED),9622 AURORA AVE NORTH   STE C,STE C,SEATTLE,KING,20180301,2066180266,416675,CURIOUS VENTURES,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6032732190010000,981033221
474,ACTIVE (ISSUED),1199 W CUNNINGHAM RD Q,STE Q,OTHELLO,ADAMS,20171027,2066692446,412266,AGRO TECHNIC,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033498290010000,993440000
475,ACTIVE (ISSUED),2916 STATE ST STE 304,,EVERETT,SNOHOMISH,20171012,2068527089,422561,SINSEMILLA,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033408760010000,982013842
476,ACTIVE (ISSUED),9301 N DIVISION ST STE B-C,,SPOKANE,SPOKANE,20171102,5099947051,414664,SATORI,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033486380010000,992181254
477,ACTIVE (ISSUED),2810 E SPENCER LAKE RD  STE A,STE A,SHELTON,MASON,20171227,3607901031,407575,WICKED DELIGHTS,WA,MARIJUANA PROCESSOR,6033589900010000,985840000
478,ACTIVE (ISSUED),181 KATIES LN SUITE B,,WASHOUGAL,SKAMANIA,20171130,3608371713,412288,BACONS BUDS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033503570010000,986717397
479,ACTIVE (ISSUED),3402 C ST NE #109,,AUBURN,KING,20180126,8064583868,416911,OPTIMUM EXTRACTS,WA,MARIJUANA PROCESSOR,6034748420010000,980021728
480,ACTIVE (ISSUED),13421 WILSON CREEK RD,,ELLENSBURG,KITTITAS,20180306,5093044260,416583,GREEN THUMB GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033785750010000,989265575
481,ACTIVE (ISSUED),3921 SPUR RIDGE LN,,BELLINGHAM,WHATCOM,20180102,5092801655,426061,TERPENE TRANSIT,WA,MARIJUANA TRANSPORTATION,6040153640010000,982261227
482,ACTIVE (ISSUED),1618 WILLOW ST,,CHENEY,SPOKANE,20171228,5094990595,412858,CHENEY HYDROPONICS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033403420010000,994040000
483,ACTIVE (ISSUED),3601 W MARGINAL WAY SW #2,,SEATTLE,KING,20171122,2065957656,412615,R&B GROUP,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033443250010000,981061142
484,ACTIVE (ISSUED),14637 STATE ROUTE 20,,MOUNT VERNON,SKAGIT,20180126,2069621025,413385,SWEET RELEAF,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035798560010000,982737276
485,ACTIVE (ISSUED),2705 HARTFORD DR STE A,,LAKE STEVENS,SNOHOMISH,20171107,4253277529,415575,CANNABLYSS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033596150010000,982589204
486,ACTIVE (ISSUED),640 S SPOKANE ST,SUITE E,SEATTLE,KING,20170902,2066128559,412340,SOLSTICE CON,WA,MARIJUANA PROCESSOR,6031327110010000,981342225
487,ACTIVE (ISSUED),10211 S SPOTTED ROAD,SUITE A,CHENEY,SPOKANE,20180124,5099798724,416641,BIOCHRON,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034666120010000,990040000
488,ACTIVE (ISSUED),3830 E BOONE AVE,,SPOKANE,SPOKANE,20171013,5094755858,412273,ROOT DOWN,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033493630010000,992024505
489,PENDING (ISSUED),2405 50TH AVE SW,,TUMWATER,THURSTON,20180110,4253105260,419494,OGO INDUSTRIES,WA,MARIJUANA PRODUCER TIER 3,6033519020010000,985128007
490,ACTIVE (ISSUED),21502 E GILBERT RD,,OTIS ORCHARDS,SPOKANE,20180116,5094990646,422447,APEX CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033264170010000,990279241
491,ACTIVE (ISSUED),303 OLD MCCOY RD,,TOPPENISH,YAKIMA,20171118,5093140708,412369,TOPP VALLEY GROWERS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033502050010000,989489314
492,ACTIVE (ISSUED),2700 4TH AVE S STE B-2,STE B-2,SEATTLE,KING,20171027,2066501023,421099,TPCB VENTURES,WA,MARIJUANA PROCESSOR,6029509160010000,981340000
493,ACTIVE (ISSUED),421 SE SELLS DR SUITE A,,SHELTON,MASON,20171027,2538203904,412275,FORBIDDEN FARMS,WA,MARIJUANA PRODUCER TIER 3,6033453920010000,985847790
494,ACTIVE (ISSUED),5901 OLD THORNTON HWY STE A,,THORNTON,WHITMAN,20171201,5094783007,412900,JVARD,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6004976470010000,991769765
495,ACTIVE (ISSUED),9326 NEPPEL RD NE SUITE A,,MOSES LAKE,GRANT,20170608,2068194526,412665,COVINGTON MEADOWS,WA,MARIJUANA PRODUCER TIER 3,6005618590010000,988370000
496,ACTIVE (ISSUED),5655 GUIDE MERIDIAN STE B,SUITE B,BELLINGHAM,WHATCOM,20171223,8602092288,421813,CANNAZONE,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033548000010000,982269722
497,ACTIVE (ISSUED),7721 MARSH RD,,SNOHOMISH,SNOHOMISH,20180213,4253591090,422928,PACIFIC GLO,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6034810050010000,982965901
498,ACTIVE (ISSUED),425 W KING TUT RD STE A,,BELLINGHAM,WHATCOM,20171202,3602019648,412587,PYRAMID GREEN HOUSES,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033508710010000,982269627
499,ACTIVE (ISSUED),34 YARNELL RD STE A,,TONASKET,OKANOGAN,20180104,5094860933,412516,LILLY OF THE VALLEY GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033507950010000,988559303
500,ACTIVE (ISSUED),12307 VAIL CUTOFF RD SE STE A,,RAINIER,THURSTON,20171002,3604467267,416579,WHITE STAR,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033418800010000,985769660
501,ACTIVE (ISSUED),3143 GOLDIE RD,,OAK HARBOR,ISLAND,20180131,2068867155,416016,EH FARMS,WA,MARIJUANA PRODUCER TIER 2,6033594230010000,982770000
502,ACTIVE (ISSUED),"2604 WILLAMETTE DR NE #A,B,C","STE A,B,C",LACEY,THURSTON,20180109,4258030100,417303,GRASSROOTS PHARM,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033592720010000,985160000
503,ACTIVE (ISSUED),9021 PRATHER RD SW,,CENTRALIA,THURSTON,20171201,9376207736,415811,PACIFIC CROWN CULTIVATION,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033503040010000,985319716
504,ACTIVE (ISSUED),831 WASHINGTON 7 STE B,,TONASKET,OKANOGAN,20180205,2536704718,417218,THE FAMILY BIZ,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033587420010000,988550000
505,ACTIVE (ISSUED),10333 LAKE CITY WAY,STE 201,SEATTLE,KING,20180105,2067951518,416584,JSM NISQUALLY,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033579020010000,981257737
506,ACTIVE (ISSUED),340 E MILLWRIGHT RD BLDG A,STE A,SHELTON,MASON,20171219,7072279932,413097,NORTHWESTPEARL,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033501030010000,985848253
507,ACTIVE (ISSUED),429 STATE HIGHWAY 506,,TOLEDO,LEWIS,20171109,2532731260,421726,HIGH 502,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6031533890010000,985910000
508,ACTIVE (ISSUED),5628 OLD HWY 410 SW STE A,STE A,OLYMPIA,THURSTON,20180228,3605616364,368015,THC OF OLYMPIA,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6040474400010000,985129422
509,ACTIVE (ISSUED),1132 NW STATE AVE STE C,STE C,CHEHALIS,LEWIS,20171024,3604864860,414045,DOC CROC,WA,MARIJUANA PROCESSOR,6033502280010000,985320000
510,ACTIVE (ISSUED),195 WHITETAIL WAY UNIT C,,CHELAN,CHELAN,20171121,5096799668,412397,HIGH STANDARD BRAND,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6006462890020000,988160000
511,ACTIVE (ISSUED),1215 N LAKE SAMISH DR UNIT 1,,BELLINGHAM,WHATCOM,20171003,2532123746,422930,BONANZA BUDS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6034341980010000,982299310
512,ACTIVE (ISSUED),99 GREENACRES RD  LOT D,LOT D,RIVERSIDE,OKANOGAN,20171205,4072344453,416450,OPEN SKY FARMS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033586190010000,988499625
513,ACTIVE (ISSUED),1199 W CUNNINGHAM RD P,STE P,OTHELLO,ADAMS,20171109,4259415373,419287,ELEMENT,WA,MARIJUANA PROCESSOR,6033464070010000,993440000
514,ACTIVE (ISSUED),3863 HANNEGAN RD,,BELLINGHAM,WHATCOM,20171204,3602243735,414256,TOP SHELF CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033505750010000,982269103
515,ACTIVE (ISSUED),7906 N CANYON VIEW DR NE,,BENTON CITY,BENTON,20171208,5097278103,423357,LLV GREEN,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6034562720010000,993205011
516,ACTIVE (ISSUED),8606 PRESTON FALL CITY RD SE,,PRESTON,KING,20171010,2063807824,421658,THE WASHINGTON STATE CANNABIS GROUP,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6030389270010000,980500000
517,ACTIVE (ISSUED),9895 PADILLA HEIGHTS RD,BLDG 2 UNIT 10 & 12,ANACORTES,SKAGIT,20171115,5102990992,424777,BELLINGHAM BUD CO.,WA,MARIJUANA PRODUCER TIER 1,6033457080010000,982218696
518,ACTIVE (ISSUED),3472 PULLMAN AIRPORT RD STE A,,PULLMAN,WHITMAN,20180302,2066691690,412557,AG GROW,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6034818100010000,991630000
519,ACTIVE (ISSUED),5805 E SHARP AVE UNIT C-8,,SPOKANE VALLEY,SPOKANE,20170612,5092167811,413014,FORTY TO FIVE FARMS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6040314650010000,992120948
520,ACTIVE (ISSUED),503 W PROSPECT RD  STE A,STE A,MOXEE,YAKIMA,20171116,5094532244,412784,ORGROW,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033552540010000,989369810
521,ACTIVE (ISSUED),56603 N SR 225 NW,,BENTON CITY,BENTON,20171213,5094300260,416548,GOLDEN LEAF,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6026629780010000,993209656
522,ACTIVE (ISSUED),19 GUN CLUB RD STE A,,BREWSTER,DOUGLAS,20171013,5096860178,412599,509 DA KINE,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033473350010000,988129631
523,ACTIVE (ISSUED),38 APPLE JACK RD,STE A,TONASKET,OKANOGAN,20180303,5099931023,412403,THE GREEN COMPANY,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6032771390010000,988559792
524,ACTIVE (ISSUED),7508 108TH ST NE  STE B,,MARYSVILLE,SNOHOMISH,20170906,4258706385,412254,FARMING FULL CIRCLE,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033399340010000,982717620
525,ACTIVE (ISSUED),1578 MOORE ST  STE C,STE C,SEDRO WOOLLEY,SKAGIT,20171123,2068171563,416170,WAGROWN,WA,MARIJUANA PRODUCER TIER 3,6033601160010000,982847523
526,ACTIVE (ISSUED),14319 BINGHAM AVE E,STE A,TACOMA,PIERCE,20171114,2543387462,416383,PHARLEADS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033508730010000,984460000
527,ACTIVE (ISSUED),1199 W CUNNINGHAM RD C1,STE C1,OTHELLO,ADAMS,20171027,3606870303,413341,SALMON CREEK SINSEMILLA,WA,MARIJUANA PROCESSOR,6033495550010000,993440000
528,ACTIVE (ISSUED),3104 234TH ST E UNIT A,UNIT A,SPANAWAY,PIERCE,20180112,2533507952,417272,12/12 GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033587800010000,983877472
529,ACTIVE (ISSUED),9730 LATHROP INDUSTRIAL DR SW,UNIT E1,OLYMPIA,THURSTON,20170807,3609514021,412236,SILICA PHOENIX,WA,MARIJUANA PROCESSOR,6033152490010000,985121064
530,PENDING (ISSUED),23930 OSO LOOP RD   STE J1,STE J1,ARLINGTON,SNOHOMISH,20180102,2065523279,415874,BUDDHA BUD,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033590530010000,982235399
531,ACTIVE (ISSUED),2797 TURNING POINTE LOOP,,CLARKSTON,ASOTIN,20171201,2087916168,417202,HELLS CANYON CANNABIS COMPANY,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6034406110010000,994030000
532,ACTIVE (ISSUED),12742 ZELLER RD SE #A,,YELM,THURSTON,20171205,2534052257,412999,ALPHA TURTLE PRODUCTIONS,WA,MARIJUANA PRODUCER TIER 1,6033525800010000,985979207
533,ACTIVE (ISSUED),1725 OCEAN AVE BLDG 2,,RAYMOND,PACIFIC,20171123,3609345783,415802,TANTUS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033488140010000,985772813
534,ACTIVE (ISSUED),26620 E HOXIE RD STE A,STE A,ROCKFORD,SPOKANE,20170921,2065525352,412242,WW AGRICULTURE,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033251170010000,990307003
535,ACTIVE (ISSUED),4770 PACIFIC HWY STE A,,BELLINGHAM,WHATCOM,20180216,2067908124,420908,2020 SOLUTIONS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035502700010000,982260000
536,ACTIVE (ISSUED),7207 212TH ST SW,,EDMONDS,SNOHOMISH,20171219,3609154944,364799,2020 SOLUTIONS EDMONDS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035723460010000,980207735
537,ACTIVE (ISSUED),5565 VANBARR PLACE UNIT F,,FREELAND,ISLAND,20171011,3603312898,413727,ISLAND HERB,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033504390010000,982490000
538,ACTIVE (ISSUED),7466 MT BAKER HWY,,MAPLE FALLS,WHATCOM,20171123,3607468734,413801,GREEN STOP CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6034756110010000,982660000
539,ACTIVE (ISSUED),202 N LEE ST,,SPOKANE,SPOKANE,20180116,5093409239,424045,WASHINGTON PACKAGING AND PROCESSING,WA,MARIJUANA PROCESSOR,6040270980010000,992023015
540,ACTIVE (ISSUED),19701 W BOWIE RD #A,,MEDICAL LAKE,SPOKANE,20171020,5092440733,412754,WEST PLAINS AG,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033402660010000,990229618
541,ACTIVE (ISSUED),216 ROYAL ANNE DR SW,,GEORGE,GRANT,20171002,3609298637,424877,THE GRASS STATION,WA,MARIJUANA RETAILER,6035551830010000,988480000
542,ACTIVE (ISSUED),300 LAKEMOOR DR SE,,SOAP LAKE,GRANT,20171102,2066124887,415816,SEATTLE GROWTH PARTNERS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033510650010000,988510000
543,ACTIVE (ISSUED),189 DEE CREEK RD STE A,SUITE A,WOODLAND,COWLITZ,20171205,3608415535,412579,SUNDOG FARMS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033515360010000,986749226
544,ACTIVE (ISSUED),3230 E RIVERSIDE AVE STE 110,,SPOKANE,SPOKANE,20171128,4259987057,412438,AXABRA,WA,MARIJUANA PROCESSOR,6033491280010000,992020000
545,ACTIVE (ISSUED),310 BROKEN J LANE STE A,,NEWPORT,PEND OREILLE,20171102,5096715893,412131,COUNTRY GARDENS 502,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033477070010000,991566005
546,ACTIVE (ISSUED),365 NW STATE AVE,,CHEHALIS,LEWIS,20180208,2063835005,415711,THE GREEN VAULT,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6032662680010000,985320000
547,ACTIVE (ISSUED),1041 INDUSTRIAL WAY STE 110,STE 110,LONGVIEW,COWLITZ,20180202,3608371030,416019,BEST QUALITY GARDENS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6035800290010000,986320000
548,ACTIVE (ISSUED),12710 AURORA AVE N,,SEATTLE,KING,20170908,2063631563,417175,PLANTWORKS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6040245530010000,981337520
549,ACTIVE (ISSUED),36711 U.S. HIGHWAY 12,,DAYTON,COLUMBIA,20180212,4259194183,422099,365 RECREATIONAL CANNABIS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035976210010000,983288622
550,ACTIVE (ISSUED),298 POORMAN CREEK RD #A,,TWISP,OKANOGAN,20171102,5099971899,412875,METHOW GROWERS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033481020010000,988569735
551,ACTIVE (ISSUED),755 W WASHINGTON ST STE C,,SEQUIM,CLALLAM,20171117,3607971993,414181,NATURE'S GIFTS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033561890010000,983823272
552,ACTIVE (ISSUED),6841 NE ELFENDAHL PASS RD,,BELFAIR,MASON,20171221,3607310115,413463,STONE SUPPLY,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033553180010000,985289734
553,ACTIVE (ISSUED),12230 AURORA AVE N STE B,,SEATTLE,KING,20170929,2066438576,415325,MARY'S FINEST MARIJUANA,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033022670010000,981338033
554,ACTIVE (ISSUED),2916 STATE ST STE 203,SUITE 203,EVERETT,SNOHOMISH,20170926,4255080286,415931,BUSH LEAGUE BUDS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033585810010000,982013842
555,ACTIVE (ISSUED),5437 CALIFORNIA AVE SW SUITE B,STE B,SEATTLE,KING,20180213,2068493676,415768,PEARL EXTRACTS,WA,MARIJUANA PROCESSOR,6032676150010000,981361583
556,ACTIVE (ISSUED),125 GREENACRES RD,,RIVERSIDE,OKANOGAN,20171201,5094210934,412262,OKANOGAN VALLEY NURSERY,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033461300010000,988490000
557,ACTIVE (ISSUED),4803 CENTER STREET STE A,,TACOMA,PIERCE,20170807,2532725265,423634,THE HERBAL GARDENS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033260490010000,984092319
558,ACTIVE (ISSUED),2205 PARROTT WAY  STE D,SUITE D,KELSO,COWLITZ,20180105,3601977053,424966,BARE NAKED BUD,WA,MARIJUANA PRODUCER TIER 1,6033631150010000,986265522
559,ACTIVE (ISSUED),300 NW 85TH ST  STE 300,STE 300,SEATTLE,KING,20180111,3604372145,425146,LUDLOW FARM,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6035578470010000,981173120
560,ACTIVE (ISSUED),41711 STATE RT 2 STE #4,STE #4,GOLD BAR,SNOHOMISH,20170307,2532088479,412757,TWO BEES,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033107290010000,982510000
561,ACTIVE (ISSUED),26425 RUPP RD J1,,CHENEY,SPOKANE,20180104,5097104695,414271,THORJON RUSSELL-J1,WA,MARIJUANA PRODUCER TIER 3,6015444080010000,990040000
562,ACTIVE (ISSUED),17801 ENTIAT RIVER RD STE B,STE B,ENTIAT,CHELAN,20171228,5093931370,416732,SHANNARA,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033581200010000,988229702
563,ACTIVE (ISSUED),6256 FRECHMAN HILLS RD W STE B,,ROYAL CITY,GRANT,20180226,2536320566,425163,FLYING TIGER FARMS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6041594680010000,993579612
564,ACTIVE (ISSUED),892 LOWER SUNNYSLOPE RD STE A,SUITE A,WENATCHEE,CHELAN,20180110,5096633873,416134,HANGING GARDENS OF CENTRAL WASHINGTON,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033572380010000,988019615
565,ACTIVE (ISSUED),6031 OLD OLYMPIC HWY SW STE A,,OLYMPIA,THURSTON,20171227,3605612500,413209,ATOMIC GREEN,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033563900010000,985129425
566,ACTIVE (ISSUED),5526 INDUSTRY LN STE 4,,EAST WENATCHEE,DOUGLAS,20171031,2065955112,412969,BLUE SKY GROWERS,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033447110010000,988029551
567,ACTIVE (ISSUED),3207 1ST AVE S UNIT A,,SEATTLE,KING,20170816,2066827220,413558,GANJA GODDESS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033283210010000,981341819
568,ACTIVE (ISSUED),171 FAIRWAY AVE STE A,,MESA,FRANKLIN,20170612,5093021547,417149,HEMP MASTERS,WA,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6033545590010000,993439554
569,ACTIVE (ISSUED),1912 STATE ROUTE 20,,SEDRO WOOLLEY,SKAGIT,20171227,3606473437,413762,SMUGGLER BROTHERS,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033558930010000,982840000
570,ACTIVE (ISSUED),615 E FRANCIS AVE,,SPOKANE,SPOKANE,20171215,3603014754,416702,OLYMPIC PRODUCTION & PROCESSING,WA,MARIJUANA PROCESSOR,6033554580010000,992063634
571,ACTIVE (ISSUED),11325 HIGHWAY 99,,EVERETT,SNOHOMISH,20171007,2083403970,420894,THC CONNECTION,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6035539380010000,982044816
572,ACTIVE (ISSUED),2600 W BRUNEAU PL,,KENNEWICK,BENTON,20180227,4256437780,422752,WAYNE SEMINOFF COMPANY,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6014453860010000,983360000
573,ACTIVE (ISSUED),1919 SE 23RD AVE,,BATTLE GROUND,CLARK,20171118,3606241861,413180,SKORD,WA,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6033506980010000,986043319
574,ACTIVE (ISSUED),3203 MARTIN WAY E  STE D,,OLYMPIA,THURSTON,20171002,3605397291,421069,THC OF OLYMPIA,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6040474400010000,985064951
575,ACTIVE (ISSUED),9031 WADDELL CREEK RD SW,,OLYMPIA,THURSTON,20171227,3602592746,412201,MR WEEDS,WA,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6033560020010000,985129317
576,ACTIVE (ISSUED),500 SE EVERETT MALL WAY #B201,STE B201,EVERETT,SNOHOMISH,20180213,2064916038,424555,SASQUATCH LOGISTICS,WA,MARIJUANA TRANSPORTATION,6040900090010000,982088122
577,ACTIVE (ISSUED),5209 MARTIN LUTHER KING JR.,WAY S,SEATTLE,KING,20171024,4257736037,414441,A GREENER TODAY MARIJUANA,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6034501390010000,981186131
578,ACTIVE (ISSUED),100 OLD HILL RD,,ABERDEEN,GRAYS HARBOR,20180122,3605325758,415523,SWEET LEAF CANNABIS CO,WA,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6033591150010000,985207300
